,selection1_product_mane_name,selection1_product_mane_url,selection1_product_name_price,selection1_product_mane_confirmation_time,selection1_product_mane_review_score,selection1_product_mane_number_of_review,selection1_product_mane_cancelation_policy,package_name,package_price
戶外活動,【小金門的戰地風情】烈嶼深度風采半日/一日遊（水頭碼頭出發）,https://www.kkday.com/zh-tw/product/22147,14.34,2個工作日內確認,4.9,-8,4天前可免費取消,半日遊（午餐自理）,14.34
,,,,,,,,半日遊（含午餐）,22.31
,,,,,,,,一日遊,31.88
戶外活動,【從海上賞斷崖】花蓮清水斷崖獨木舟體驗（含市區接駁）,https://www.kkday.com/zh-tw/product/23050,47.78,1個工作日內確認,4.5,-32,,清水斷崖獨木舟體驗,47.78
戶外活動,【全台唯一海陸空主題樂園】台中麗寶樂園門票 （台灣旅客限定,https://www.kkday.com/zh-tw/product/19796,20.72,立即確認並發送憑證,4.7,-85,有效期內任何一天使用,探索樂園＋馬拉灣水陸一日票,23.91
,,,,,,,,探索世界一日票,20.72
戶外活動,,,,,,,,馬拉灣一日票,20.72
戶外活動,【宜蘭秘境半日遊】中央山脈起點-東澳烏岩角海蝕洞獨木舟體驗,https://www.kkday.com/zh-tw/product/19475,40,1個工作日內確認,4.8,-134,7天前可免費取消,東澳秘境獨木舟體驗,46.25
戶外活動,,,,,,,,超夢幻透明獨木舟漂浮體驗,40
戶外活動,,,,,,,,烏岩角海蝕洞獨木舟體驗（回程由動力艇帶回）,57
戶外活動,【國際知名潛點】綠島體驗潛水、免費攝影,https://www.kkday.com/zh-tw/product/22226,77.92,1個工作日內確認,4.7,-3,5天前可免費取消,【國際知名潛點】綠島體驗潛水、免費攝影,77.92
戶外活動,【綠島海底探險】藍洞秘境探險,https://www.kkday.com/zh-tw/product/24844,19.13,1個工作日內確認,5,-5,,藍洞秘境探險,19.13
戶外活動,【最HITO的水上活動】小琉球與海龜共游浮潛體驗之旅,https://www.kkday.com/zh-tw/product/23499,7.97,立即確認,4.6,-20,可出示電子憑證,浮潛體驗-夏季時段,7.97
戶外活動,,,,,,,,浮潛體驗-冬季時段,7.97
戶外活動,【澎湖南海跳島必備】七美、望安跳島船票＋交通,https://www.kkday.com/zh-tw/product/22315,22.31,立即確認並發送憑證,4.2,-198,8天前可免費取消,七美＋望安跳島船票（不含島上交通）,22.31
戶外活動,,,,,,,,七美＋望安半日遊（含島上觀光遊覽車）,31.88
戶外活動,,,,,,,,優惠：七美、望安半日遊（含島上觀光遊覽車）,27.09
戶外活動,,,,,,,,七美、望安半日遊（含島上兩人一部機車）,27.09
戶外活動,,,,,,,,優惠：七美、望安半日遊（含島上兩人一部機車）,22.31
戶外活動,【潛進太平洋海域】蘭嶼一對一體驗潛水,https://www.kkday.com/zh-tw/product/21343,77.92,立即確認,4.7,-6,可出示電子憑證,蘭嶼潛水,77.92
戶外活動,【基隆北海岸網美一日遊】深澳鐵道自行車、小長城、象鼻岩,https://www.kkday.com/zh-tw/product/23647,31.84,2個工作日內確認,4.8,-9,有條件取消,單人費用,31.84
戶外活動,【CP值超高澎湖季節限定】澎湖海洋牧場鮮蚵吃到飽,https://www.kkday.com/zh-tw/product/2332,11.16,立即確認並發送憑證,4.3,-260,僅限指定日期使用,海洋牧場體驗,11.16
戶外活動,【與海龜有約】小琉球體驗潛水（免潛水執照）,https://www.kkday.com/zh-tw/product/23476,79.69,1個工作日內確認,4.8,-13,6天前可免費取消,體驗潛水-夏季時段,79.69
戶外活動,,,,,,,,體驗潛水-冬季時段,79.69
戶外活動,【自駕遊金門】當地租車好便利(機場取車/碼頭取車),https://www.kkday.com/zh-tw/product/19851,47.81,1個工作日內確認,4.7,-3,4天前可免費取消,NISSAN MARCH,47.81
戶外活動,,,,,,,,TOYOTA VIOS,47.81
戶外活動,,,,,,,,NISSAN SERENA,89.25
戶外活動,,,,,,,,TOYOTA PRIUS,57.38
