product_name,Vertical,product_url,City,Price (USD),product_description,product_number_of_review,product_Number_of_bookings,,,
【高雄第一座墨西哥親子主題館】貝兒絲樂園 － 獨家新開幕快閃日７／２０－７／２１特惠門票,Attraction & Shows,https://www.kkday.com/zh-tw/product/27169,高雄,3.22,貝兒絲樂園提供給1~8歲寶貝一個優良遊樂環境！安全的遊戲空間和豐富的教材資源，每一個區域都安排細心的服務人員協助，在設備上更是照護零死角，設施皆定期維護，讓遊樂環境安全面面俱到。限定日快閃門票，名額有限售完為止，趕快手刀搶購吧！僅需於手機出示憑證，即可以優於現場的價格立即享受優質的親子互動場所！,,,,,
【桃園機場接送】桃園機場 (TPE)－ 新北＆台北地區,Local Transfer,https://www.kkday.com/zh-tw/product/1781,"台北, 多個城市",25.55,現在立即預約KKday新北與台北到桃園機場接送，輕鬆來回桃園機場一、二航廈與台北、新北的交通，舒適又快速，推薦給需要往返台北桃園機場交通的小團體旅客。,-5853,28.7K+ 個已訂購,,,
【CP值超高澎湖季節限定】澎湖海洋牧場鮮蚵吃到飽,Activities & Experiences,https://www.kkday.com/zh-tw/product/2332,澎湖,11.27,往返海上平台－澎湖海洋牧場箱網養殖區，單趟船程約20分鐘，親釣海鱺魚感受威力及搏鬥的樂趣、刺激好玩的趣味釣花枝、生態觸摸體驗池，鮮蚵及海鮮粥吃到飽無限量供應，一享澎湖漁村生活。,-153,751 個已訂購,,,
【2019 九族FUN暑假】南投日月潭九族文化村暑期門票,Attraction & Shows,https://www.kkday.com/zh-tw/product/18440,南投,20.92,預先購買九族暑期門票，除了可搭乘日月潭纜車俯瞰湖光山色的美麗景緻，還可以暢玩精彩刺激的遊樂設施，現場還有台灣原住民特色表演，適合親朋好友一同前來遊玩！,-1315,8.7K+ 個已訂購,,,
【台北近郊一日遊】野柳、平溪十分、九份老街（保證有位）,Tours & Sightseeing,https://www.kkday.com/zh-tw/product/2287,"台北, 多個城市",17.5,參加 KKday 專屬台北近郊一日遊，一人亦可輕鬆出遊，從台北搭乘專車前往野柳、平溪十分及九份老街等熱門景點！欣賞野柳地質公園奇特的海蝕景觀，在平溪十分放天燈許願，品嚐九份老街各式各樣的道地美食，不需煩惱交通問題，專業英語導遊帶你深度認識北台灣之美。,-5177,25.1K+ 個已訂購,,,
【宜蘭秘境半日遊】中央山脈起點-東澳烏岩角海蝕洞獨木舟體驗,Activities & Experiences,https://www.kkday.com/zh-tw/product/19475,"台北, 多個城市",46.67,前往東澳烏岩角，在專業教練的指導與協助下，體驗划行獨木舟欣賞宜蘭東澳海岸鬼斧神工的海蝕洞和自然美景，穿過無人島和壯麗海洋，深入難以到達的秘境 ，獨享純淨的美麗景緻，無獨木舟經驗者亦可迅速上手，盡情感受海水的沁涼，留下難忘回憶。,-59,190 個已訂購,,,
【太魯閣包車遊】花蓮半日遊 / 一日遊,Tours & Sightseeing,https://www.kkday.com/zh-tw/product/2127,花蓮,55.98,預訂花蓮私人專屬包車服務，你可選擇從花蓮在地民宿、飯店、花蓮車站或花蓮機場出發，依人數需求，選擇適合的車款方案，規劃客製行程，盡情遊歷台灣東部壯麗的自然奇景，輕鬆走遍太魯閣、長春祠、九曲洞、燕子口、清水斷崖和七星潭等地，享受便利又舒適的花蓮之旅。,-789,3.3K+ 個已訂購,,,
【探訪蘭嶼地下屋】蘭嶼浮潛＋地下屋導覽 3 天 2 夜套裝行程,Tours & Sightseeing,https://www.kkday.com/zh-tw/product/2435,蘭嶼,170.59,達悟人因應蘭嶼島上特殊的氣候及環境（高溫多雨、多颱風）就地取材，發展獨特的半地下屋建築。到蘭嶼旅遊時，如果是非主人或者專業導覽帶領，是禁止隨意進入地下屋地區窺視或拍照的，想要親身體驗當地特有的文化，讓專業的帶你一探究竟吧！,-7,,,,
【台灣上網吃到飽電話卡】中華電信 4G SIM卡＋通話費（台灣機場領取）,Travel Essential,https://www.kkday.com/zh-tw/product/2697,所有城市,10.3,台灣中華電信上網卡，享 4G 高速上網，流量吃到飽不降速，3 / 5 / 7 / 10 / 15 / 30 天上網卡讓你在旅途中保持網路暢通，另提供台灣桃園 / 台北松山 / 台中清泉崗 / 高雄小港機場領取服務，讓您下飛機後立刻插卡使用，輕鬆暢遊台灣。,-4474,40.2K+ 個已訂購,,,
【台灣好行巴士－ 暢遊金門】金門各路線乘車券體驗,Local Transfer,https://www.kkday.com/zh-tw/product/19847,金門,8.05,搭乘台灣好行金門路線巴士，輕鬆暢遊金門各處景點，一共有5條路線，並且分成半日遊、一日遊或二日遊，選擇多樣自由安排行程，還可以憑此券不限次數免費轉乘市區公車，透過KKDAY訂購台灣好行巴士乘車券來一趟環保又方便的金門之旅。,-4,,,,
【看見台灣】齊柏林空間展覽預售門票,Attraction & Shows,https://www.kkday.com/zh-tw/product/22781,新北市,3.86,齊柏林導演的空中攝影影像裡，帶著滿滿的故事、感動與驚喜。然而，以往的展覽來不及讓更多人一起參與，於是齊柏林空間應運而生：讓你置身場館，就能感受紀實攝影背後的人文深度和環境關懷，一座影像圖書館，帶你翻越內心的叢山峻嶺。,-30,136 個已訂購,,,
